,parent,left_child,right_child,distance,size
326,6124,6092.0,5251.0,7.411713466382354,3.0
327,6125,5811.0,5197.0,7.41205413519731,3.0
328,6126,5880.0,5907.0,7.413108837477378,5.0
329,6127,5981.0,4353.0,7.416582962312388,20.0
330,6128,867.0,310.0,7.419460709261717,2.0
331,6129,6120.0,5546.0,7.419878879799044,6.0
332,6130,5893.0,6084.0,7.420828411213472,5.0
333,6131,1290.0,1208.0,7.426876590907445,2.0
334,6132,2597.0,1664.0,7.427552706380241,2.0
335,6133,4869.0,6125.0,7.427639482791198,4.0
336,6134,5953.0,4303.0,7.439907343567245,5.0
337,6135,5804.0,6117.0,7.4399333435926245,5.0
338,6136,1073.0,1397.0,7.443802021519166,2.0
339,6137,4118.0,3962.0,7.4446105928151765,2.0
340,6138,5497.0,5418.0,7.449003701003811,2.0
341,6139,6018.0,4241.0,7.453013911151841,3.0
342,6140,6129.0,5744.0,7.45648845067045,7.0
343,6141,4160.0,5061.0,7.461090474940148,2.0
344,6142,6026.0,4114.0,7.464247327586672,4.0
345,6143,4755.0,5436.0,7.470472783802195,2.0
346,6144,4088.0,3997.0,7.473688033871566,2.0
347,6145,1718.0,1841.0,7.476540743037217,2.0
348,6146,4878.0,4805.0,7.477604237352665,2.0
349,6147,6124.0,5372.0,7.47760931147276,4.0
350,6148,258.0,621.0,7.480177058827444,2.0
351,6149,6071.0,3894.0,7.484392515158735,3.0
352,6150,220.0,222.0,7.485220573148724,2.0
353,6151,6142.0,5971.0,7.487027606179192,6.0
354,6152,5185.0,4681.0,7.492148098466231,2.0
355,6153,4208.0,5539.0,7.492733754647743,2.0
356,6154,6151.0,5509.0,7.493480792686871,7.0
357,6155,4436.0,5605.0,7.496611952002601,2.0
358,6156,5305.0,4376.0,7.4970787307257085,2.0
359,6157,2973.0,6009.0,7.50451002826455,4.0
360,6158,5349.0,4571.0,7.5097547776326685,2.0
361,6159,5049.0,4330.0,7.518702283370225,2.0
362,6160,6133.0,5900.0,7.542765880830561,6.0
363,6161,5749.0,4251.0,7.544191002753951,2.0
364,6162,2333.0,2607.0,7.546743475879615,2.0
365,6163,4035.0,6072.0,7.55123101715858,6.0
366,6164,5746.0,4291.0,7.560920627471117,2.0
